page #,job_title,url,companies,requirements,location
3,"Section Head, Settlement (credit Card)",https://hk.jobsdb.com/hk/en/job/section-head-settlement-100003006826794,Bank of Communications (Hong Kong) Limited,---------,Tsim Sha Tsui
4,Sales Engineer (5 Days Work),https://hk.jobsdb.com/hk/en/job/sales-engineer-100003006820958,Haystar Consultant Limited,"1-2 years working experienceGood English, Mandarin & CantoneseExcellent career opportunities",Kwun Tong
4,Graduate Trainee Programme,https://hk.jobsdb.com/hk/en/job/graduate-trainee-programme-100003006826787,Job-box Personnel,"Bachelor degree holder or aboveMedical benefits & study allowance20 working days' annual leave, 5-day work week",Kwun Tong
4,Assistant Accountant / Accountant,https://hk.jobsdb.com/hk/en/job/assistant-accountant-accountant-100003006826786,SmarTone Telecommunications Limited,"Degree in Accountancy or FinanceAccounting works: inventories, purchase ordersMinimum 5 years' relevant experience",Kwun Tong
4,"Senior Manager, Audit",https://hk.jobsdb.com/hk/en/job/senior-manager-audit-100003006826784,"Bank of Communications Co., Ltd. Hong Kong Branch",---------,Kwun Tong
4,"Manager, Treasury Compliance",https://hk.jobsdb.com/hk/en/job/manager-treasury-compliance-100003006826776,"Bank of Communications Co., Ltd. Hong Kong Branch",---------,Kwun Tong
4,Deputy Head Of Compliance (anti Money Laundering),https://hk.jobsdb.com/hk/en/job/deputy-head-of-compliance-100003006826771,"Bank of Communications Co., Ltd. Hong Kong Branch",------------,Kwun Tong
4,"Manager, Compliance",https://hk.jobsdb.com/hk/en/job/manager-compliance-100003006826769,"Bank of Communications Co., Ltd. Hong Kong Branch",---------,Kwun Tong
4,"Senior Officer/ Assistant Manager, Financial Accounting",https://hk.jobsdb.com/hk/en/job/senior-officer-assistant-manager-financial-accounting-100003006826763,Great Union Human Capital Limited,Financial AccountingHKMA and CBRCIFRS accounting standards,Kwun Tong
4,"Manager, Financial Accounting",https://hk.jobsdb.com/hk/en/job/manager-financial-accounting-100003006826759,"Bank of Communications Co., Ltd. Hong Kong Branch",---------,Kwun Tong
4,Assistant Shipping Finance Manager (trainee) (shipping / Aviation Finance),https://hk.jobsdb.com/hk/en/job/assistant-shipping-finance-manager-100003006826751,"Bank of Communications Co., Ltd. Hong Kong Branch",---------,Kwun Tong
4,"Senior Clerk, Financial Accounting",https://hk.jobsdb.com/hk/en/job/senior-clerk-financial-accounting-100003006826735,Modern Terminals Ltd,"Diploma in Accounting, with 1-2 years experienceExperience in SAP preferredSelf-motivated, good team player",Kwun Tong
4,Accounts Clerk ( 5-day Work),https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006826721,Lestina Int'l Ltd.,Form 7 or DSE / Diploma holderLCC Intermediate or above1 years working experience,Kwun Tong
4,Assistant Accountant / Senior Accounting Assistant,https://hk.jobsdb.com/hk/en/job/assistant-accountant-senior-accounting-assistant-100003006825837,Manuchar Hong Kong Ltd,Responsible for daily treasury operationsAssist in handling external audit4 years+ relevant hands-on working experience,Kwun Tong
4,"Accounting Officer, Accounts Payable & Receivable (id38035)",https://hk.jobsdb.com/hk/en/job/accounting-officer-accounts-payable-receivable-100003006826714,Uniplan Hong Kong Ltd,Act as Cash Book module ownerSupport transactions related to AR & APPrepare journal vouchers and perform data entries,Kwun Tong
4,Senior Fund Accountant (real Estate Private Equity),https://hk.jobsdb.com/hk/en/job/senior-fund-accountant-100003006826697,Aurex Group Limited,Private Equity real estate fundNewly created positionBased in Singapore,Kwun Tong
